Community_ID,Size,Density,Avg_Clustering,Avg_Betweenness,Internal/External_Ratio
14,2015,0.008944830356240805,0.20617253464171828,0.0012718875283776604,2.02634810739909
9,10200,0.0008464882177991307,0.09071059241335795,0.0003489386054375595,1.4905213269637603
18,1128,0.011302208209833424,0.2284904556725204,0.0026108680746843886,1.5133768692830467
3,5657,0.0033666091677982666,0.18933441746794621,0.00045549614240377237,1.7278560199631754
4,1132,0.015066875369056433,0.2217600221297796,0.002126167346392688,2.150022291094511
5,686,0.02159136855993701,0.24051402773743255,0.003463279829246885,1.1743055552837254
6,546,0.033955035789898176,0.28027636317035803,0.0037172914331575963,1.3754424172677804
7,2089,0.008615187379981622,0.17151817043407624,0.001163602236411835,2.691062732355906
23,3902,0.004547060506111603,0.1851535812191867,0.0007053735279422525,3.4380091393365775
1,3674,0.0037502402812620928,0.17599488898370236,0.0008331749927672767,2.4660364484488806
22,1524,0.010724447362661415,0.19779881161423798,0.0016991689094135733,2.824784384288519
15,2237,0.005809355265125556,0.1923611370706901,0.0013617621372578144,2.1967039609620946
8,1436,0.012621199033319421,0.17951310729563405,0.0015794312748183034,3.031235430528849
12,1810,0.008961942894490104,0.20749897862523226,0.0015449508921436916,2.014277869026046
13,2083,0.006335077012898433,0.19090310295213692,0.0013883220114565239,2.302161890011369
16,1612,0.007908562873421407,0.23224074962477936,0.0019529174382771188,1.36121420978775
17,2847,0.00589591292235715,0.1747799979482358,0.0009569300719029791,3.0201036789707794
2,1559,0.009034460554929307,0.21770441722308326,0.0018000775293124014,1.801937920544927
20,3728,0.004320778312994953,0.17293212026285482,0.0007622567825821622,2.4541738204190846
24,2024,0.007987687053430998,0.19388024454465808,0.0013335272906088412,2.541653714245935
19,1123,0.01620151015153896,0.24229747819236722,0.002086182949133769,2.27885688718936
21,1198,0.011026453166862621,0.23044951320045162,0.0024967033787990146,1.8593603005975163
0,349,0.03221025590356684,0.24973014781684294,0.006577995115965216,1.4319180077365168
10,10,0.2222222222222222,0.15,0.21944444444444441,1.1111109876543348
11,4,1.0,1.0,0.0,5.999994000006001
